ATE,Error_ATE,Error_PEHE,Problem
3.880179,0.03241,0.106844,IHDP 296
4.108379,0.227615,0.88976,IHDP 297
3.953225,0.075168,0.635086,IHDP 298
4.138098,0.265057,0.608885,IHDP 299
4.068999,0.169298,0.547689,IHDP 300
4.526017,0.190051,0.697784,IHDP 301
6.179739,0.464791,1.244099,IHDP 302
4.105771,0.170582,0.478104,IHDP 303
4.046146,0.293887,0.869322,IHDP 304
3.948332,0.074593,0.39935,IHDP 305
5.434893,0.1022,0.796897,IHDP 306
4.760296,0.001289,1.901759,IHDP 307
3.644242,0.262129,0.492147,IHDP 308
2.61934,0.794539,4.285797,IHDP 309
2.4003,0.097141,2.470288,IHDP 310
4.722806,0.62921,14.089901,IHDP 311
4.298212,0.297955,0.414384,IHDP 312
1.895762,0.833441,1.855238,IHDP 313
3.304741,0.070053,1.58351,IHDP 314
4.202883,0.281424,1.577206,IHDP 315
4.41925,0.121282,0.824467,IHDP 316
4.092218,0.04836,0.509142,IHDP 317
7.304587,0.16053,1.050539,IHDP 318
9.677135,0.313528,4.313448,IHDP 319
4.113815,0.005168,2.025922,IHDP 320
4.44406,0.080907,0.718018,IHDP 321
5.909824,0.148521,3.465073,IHDP 322
4.506959,0.412738,0.546038,IHDP 323
4.390962,0.000172,0.356325,IHDP 324
5.836417,0.17989,0.503784,IHDP 325
2.094788,0.298552,1.395654,IHDP 326
4.558136,0.057305,0.98953,IHDP 327
12.202974,1.047688,32.737646,IHDP 328
0.575102,0.194245,3.477815,IHDP 329
3.260379,0.206347,0.969674,IHDP 330
3.067394,0.011967,0.480746,IHDP 331
4.323191,0.268097,2.385706,IHDP 332
3.926307,0.31069,0.522328,IHDP 333
4.268453,0.104153,0.624915,IHDP 334
4.107216,0.083158,0.559722,IHDP 335
5.1993,0.230162,1.582238,IHDP 336
3.611071,0.51226,10.966326,IHDP 337
4.086021,0.291439,0.750143,IHDP 338
3.991024,0.002186,0.730977,IHDP 339
9.094573,1.611596,24.312577,IHDP 340
4.309699,0.084855,0.382717,IHDP 341
4.062607,0.339183,0.956363,IHDP 342
6.962676,0.226854,4.75812,IHDP 343
1.265449,1.988314,60.570349,IHDP 344
3.935433,1.979595,35.273478,IHDP 345
4.544109,0.150247,1.314255,IHDP 346
4.650149,0.075276,2.856231,IHDP 347
4.158998,0.48878,1.007806,IHDP 348
5.327891,0.250374,1.185473,IHDP 349
6.352405,0.430943,6.482753,IHDP 350
5.911359,0.407787,1.165487,IHDP 351
3.980409,0.051292,0.570669,IHDP 352
4.600258,0.208382,1.797298,IHDP 353
4.026606,0.003951,0.764277,IHDP 354
4.319107,0.024556,0.517703,IHDP 355
1.01733,0.126041,3.552565,IHDP 356
3.928458,0.035841,0.99732,IHDP 357
4.398043,0.202924,0.481648,IHDP 358
3.971575,0.161664,0.71746,IHDP 359
1.33982,0.846309,4.652142,IHDP 360
2.37995,0.236179,12.974468,IHDP 361
3.645929,0.088907,0.953225,IHDP 362
4.011113,0.200373,0.601962,IHDP 363
3.660033,0.046554,0.711299,IHDP 364
5.161995,0.260922,0.68638,IHDP 365
5.10076,0.071754,0.457418,IHDP 366
3.923495,0.044741,0.689791,IHDP 367
3.727482,0.054072,0.592164,IHDP 368
4.542613,0.417857,3.336346,IHDP 369
3.678288,0.05573,0.916938,IHDP 370
3.983172,0.028298,0.644363,IHDP 371
4.270391,0.451606,1.333497,IHDP 372
4.534935,0.512793,8.166339,IHDP 373
4.086116,0.226816,0.478269,IHDP 374
3.957812,0.070045,0.606369,IHDP 375
3.969784,0.088722,0.703706,IHDP 376
4.009639,0.017164,0.490778,IHDP 377
4.12089,0.706113,1.2061,IHDP 378
3.544981,0.01304,0.591374,IHDP 379
3.972572,0.082049,0.814896,IHDP 380
4.108098,0.14939,1.680374,IHDP 381
2.770809,0.693218,6.719337,IHDP 382
3.806732,0.001324,0.298501,IHDP 383
2.613289,0.357817,1.956606,IHDP 384
4.55917,0.017155,7.729492,IHDP 385
5.81783,0.253887,7.721022,IHDP 386
3.303696,0.05919,0.4619,IHDP 387
3.533431,0.155367,0.635579,IHDP 388
3.765228,0.066247,0.699499,IHDP 389
3.049347,0.048189,1.073577,IHDP 390
3.910273,0.438138,0.609034,IHDP 391
5.093272,0.071858,0.873039,IHDP 392
5.08876,0.08391,0.949551,IHDP 393
4.216065,0.098377,0.365305,IHDP 394
4.010602,0.616551,1.721088,IHDP 395
3.965822,0.075278,0.691823,IHDP 396
3.771529,0.07646,0.53571,IHDP 397
4.02836,0.419905,1.106184,IHDP 398
5.962017,0.230034,0.885323,IHDP 399
5.8386,0.120378,0.974556,IHDP 400
6.618298,0.763031,4.745185,IHDP 401
4.203918,0.217788,0.63594,IHDP 402
4.240114,0.01516,0.604217,IHDP 403
4.267716,0.112346,0.625824,IHDP 404
4.0697,0.253094,0.581939,IHDP 405
3.837232,0.007944,0.311191,IHDP 406
4.227002,0.08662,1.062786,IHDP 407
5.241982,0.038975,0.43218,IHDP 408
4.594335,0.259584,1.021134,IHDP 409
8.167517,0.185489,0.924329,IHDP 410
4.137189,0.025489,0.63086,IHDP 411
4.297494,0.017516,1.092028,IHDP 412
3.992074,0.378663,1.061202,IHDP 413
4.887621,0.115511,0.687306,IHDP 414
2.523297,0.284265,52.308733,IHDP 415
4.268561,0.19417,0.450863,IHDP 416
4.116272,0.107287,0.942727,IHDP 417
1.836465,0.262552,1.756781,IHDP 418
3.346265,0.110513,0.913977,IHDP 419
4.119501,0.033236,0.259432,IHDP 420
4.264316,0.142123,0.830685,IHDP 421
4.094396,0.112711,0.854475,IHDP 422
4.092035,0.120422,0.429911,IHDP 423
